,DXT_200,FDM_200,SDM_200,DXT_400,FDM_400,SDM_400,DXT_600,FDM_600,SDM_600,SED_AVE,SED_STD,SED_GRD,V_UP,V_TN,AGE,FRE_DG_AVE,FRE_DG_STD,EGR_DG_AVE,EGR_DG_STD,SRO_DG_AVE,SRO_DG_STD,IRO_DG_AVE,IRO_DG_STD,LRO_DG_AVE,LRO_DG_STD,CRD_UP_AVE,CRD_UP_STD,CRS_UP_AVE,CRS_UP_STD,CRM_UP_AVE,CRM_UP_STD,FRE_UP_AVE,FRE_UP_STD,EGO_UP_AVE,EGO_UP_STD,EGO_L_UP_AVE,EGO_L_UP_STD,EGO_SL_UP_AVE,EGO_SL_UP_STD,EGO_UM_UP_AVE,EGO_UM_UP_STD,EGR_UP_AVE,EGR_UP_STD,EGR_BG_UP_AVE,EGR_BG_UP_STD,INV_UP_AVE,INV_UP_STD,DLT_UP_AVE,DLT_UP_STD,MR_GCMT
10,499.8685,0.3968471342062132,0.0055017049215557,476.4129,0.1991122862867765,0.000890274182849,466.9074,0.178412090638753,0.0004822783999959,119.43077040453846,5.788494979446712,1.460175325259064e-05,-75.8,-37.3,156.3,8.5201347772,84.3357446635,12.0758076477,69.8665941385,239.0626923077,70.9379886828,2361.6385164835,839.3277862654,1622.8862087912,558.945434752,3.8184e-06,9.867e-07,4.165e-07,8.335e-07,1.6731e-06,4.919e-07,-50.0470623482,132.965616607,42.9455974325,8.9570386092,-2.8303361332,7.5934341584,-3.6756638137,8.633335872,-5.6524792928,8.9890188961,-48.9470039113,134.5143765809,284.5679473878,42.7745860408,304.3465430175,409.5492093988,-269.5693627666,363.6091036297,5.8
11,531.3014,0.2394064614280788,0.0067005142797402,495.0186,0.1740355196877663,0.0011201232587145,484.063,0.1655634768272931,0.0005485017883138,118.20000632148572,5.627998480173106,1.2307640830527406e-05,-75.8,-37.3,156.3,-8.5977976429,69.2676121061,12.1781213228,48.154657921,223.6727363184,84.508887601,1831.8569651741,795.6406046491,1270.4641791045,709.2393198171,3.6361e-06,9.278e-07,1.898e-07,7.325e-07,1.1993e-06,5.841e-07,-68.3429787785,122.0389046648,40.9742664587,8.0478827273,-4.215277187,6.7121325633,-5.0821292577,7.6072376341,-6.8570887168,7.8804299557,-71.7638922175,119.592618966,297.8413115955,41.2113775403,311.6618869956,361.9694148089,-284.7002855149,333.0435702209,6.5
12,546.2548,0.0842454096685178,0.0052271833540646,510.837,0.144615275188966,0.001220015406407,499.8497,0.1513209176370083,0.0005911846714755,114.58210207814923,6.336689309152003,3.617904243336495e-05,-83.7,-49.9,153.2,-47.8464208061,76.1678282782,2.2555451026,55.4350695405,190.0363186813,59.6450269306,1855.8564835165,977.8146836341,1251.0044505495,698.2149774391,3.5317e-06,9.876e-07,1.039e-07,4.121e-07,1.0274e-06,8.335e-07,-33.7986928025,122.8762791798,43.2759572665,8.2672726809,-2.0533585792,6.7576179015,-2.4883899658,7.6670550937,-4.0383572511,7.8700355979,-29.4406049135,122.2475556833,293.8302828471,52.2071476562,275.995793511,405.9005348831,-258.4556943202,382.99642626,5.1
13,548.2539,0.0226478650919097,0.0025963256424335,523.6196,0.1143121810643495,0.001176808328422,514.1607,0.1362821528054024,0.0006099234180822,109.412692963,7.700000600469031,5.169409115149237e-05,-83.7,-49.9,153.2,-18.2102737515,105.6978663671,5.1429890067,55.374575623,175.509,23.6383339937,2157.2330625,976.5433659399,1537.6431875,819.9630816875,3.4394e-06,9.574e-07,4.66e-08,1.421e-07,1.3343e-06,6.826e-07,2.2929448932,116.2762654652,44.9914438508,8.1582788943,-0.4360166604,6.465697934,-0.4848403919,7.4315686051,-1.7408146838,7.5913326134,-0.5720101324,116.4560036187,291.8768763109,57.3016597414,263.6192429762,349.6413058321,-256.1753366324,340.774636031,5.2
14,543.7121,0.0555440052543322,0.0004929627339473,533.4729,0.0865805229857852,0.0010061957204713,526.9492,0.1210302454017262,0.0006064619543998,112.1562486887656,8.844531219843082,2.743555725765609e-05,-83.7,-49.9,153.2,-77.1990519256,64.089277076,5.2683847884,53.0426976102,180.9821118012,40.7223034774,2250.1877639752,796.5654720834,1250.4471428571,530.0927408177,3.4111e-06,8.059e-07,4.33e-08,1.286e-07,1.5847e-06,3.948e-07,3.4846635565,101.5228629237,45.3655809923,7.5873949459,0.0729930747,5.8583939865,0.2306046218,6.8127508909,-0.5272681749,7.061528812,5.7811044347,100.0881496718,287.4098885276,46.8083757166,239.8448776714,339.8825215645,-225.3872356981,321.3384421134,5.2
15,538.0416,0.0514631561259061,0.000652331454847,540.8195,0.0642230020950132,0.0007451974506774,538.2234,0.1060842501927394,0.0005842575790973,120.174607049873,8.747860320368279,8.018358361107397e-05,-83.7,-49.9,153.2,-81.7873293442,51.2787283088,12.0244942914,54.6737076235,258.3475342466,42.1271344496,2346.0597945205,906.3141922497,1250.1647945205,468.036348801,3.3495e-06,8.356e-07,9.18e-08,9.47e-08,1.5156e-06,4.582e-07,9.6761805383,94.5422142145,45.5093165636,7.2754354905,0.3603719862,5.4852676282,0.6659646207,6.4603459165,0.189462095,6.68769863,10.0244998634,91.5599528946,272.1124903361,43.1226959153,215.5519507928,318.8054714631,-214.2383244281,317.4050163086,6.4
16,533.924,0.0311356615508807,0.0009432371430669,546.3073,0.0489663117785201,0.0004424536051857,548.0383,0.0918629645537626,0.0005478813023271,123.75408472778687,9.47067344810754,3.579477677913876e-05,-83.7,-49.9,153.2,-107.6617281372,27.3587139403,20.2782898578,62.3449957912,254.5907746479,61.5116613137,3004.6653521127,682.2599701723,1817.4076056338,562.9894333796,3.3089e-06,9.234e-07,2.14e-07,1.313e-07,1.5237e-06,5.263e-07,16.7393164131,85.8959522635,45.1601394205,6.875202876,0.3160617215,5.0269233111,0.6199616101,6.0152282802,0.6359174735,6.1482099843,14.2869423365,83.4556800457,258.5674625472,44.6360802092,203.8204435483,303.7522961661,-201.6304693805,300.6030754048,5.2
17,532.1693,0.0085475781725226,0.0012431140932624,550.6879,0.0412731094346853,0.0001493981124156,556.4843,0.0786641072222263,0.0005023974829772,122.03078765875384,10.07963600442084,1.723297069033042e-05,-76.9,-43.3,149.6,-119.6787410471,31.3340685087,4.7092824038,55.075936968,234.0530065359,88.4999859096,2425.4535947712,775.6903153684,1340.5681045752,610.3817933801,3.23e-06,9.071e-07,2.647e-07,1.092e-07,1.4524e-06,4.767e-07,11.7791191656,76.5239634407,43.7420150002,6.6175889809,-0.5424481003,4.749399611,-0.4522861226,5.7231249328,-0.0266851155,5.8910345798,13.4924508896,74.9998867376,239.7749576778,40.474863555,205.7483115291,263.5802863766,-204.7972342086,261.8764335408,1.0
18,533.5587,0.0326869775614375,0.0018464937652565,554.6895,0.0403591699371841,8.889542818572111e-05,563.6748,0.0666587224856039,0.0004527697045155,114.99999680058065,10.705740991803214,7.03079085817318e-05,-76.9,-43.3,149.6,-156.7064083039,15.8626123772,0.253574295,62.6132854862,232.8145,57.6527755707,2101.5605,1156.1810162496,1497.7315,891.0288855048,3.2242e-06,9.799e-07,5.31e-08,1.241e-07,1.3204e-06,4.987e-07,-25.985697367,91.9164245197,40.9960826026,7.0296326925,-2.5842010323,5.1239031243,-2.8338534703,6.0888265268,-2.0221777576,6.0410861886,-30.7189368288,92.6889489997,240.6407858955,46.876056148,198.9672781537,227.2487315328,-201.1338110767,229.7926076502,5.5
19,539.546,0.08458543214824,0.0022377972919712,558.9003,0.0443944874766144,0.0002330753362692,569.7334,0.0559001195804867,0.0004032977398308,131.30301180746972,25.470103583352422,0.0001630301500688,-76.9,-43.3,149.6,-172.7123997154,14.8124516418,4.8113309535,82.6291924837,227.8314285714,56.2011779662,1932.050621118,1188.0733810104,1307.0129192547,929.1156580136,3.2811e-06,1.0239e-06,-1.38e-07,1.317e-07,1.3302e-06,6.121e-07,-32.3066452144,76.845339376,40.6082317564,6.3525034372,-2.6748574023,4.4603353286,-3.1074534009,5.4069323464,-1.9994189905,5.4999991608,-26.3723580943,70.0378839039,229.6920464409,41.9598845965,163.4697783953,212.4755873299,-164.2690473297,213.5226280874,5.5
