CRD_UP_AVE,CRD_UP_STD,CRS_UP_AVE,CRS_UP_STD,CRM_UP_AVE,CRM_UP_STD,INV_UP_AVE,INV_UP_STD,DLT_UP_AVE,DLT_UP_STD,SED_AVE,SED_STD,SED_GRD,SRO_DG_AVE,SRO_DG_STD,IRO_DG_AVE,IRO_DG_STD,LRO_DG_AVE,LRO_DG_STD,FRE_DG_AVE,FRE_DG_STD,FRE_UP_AVE,FRE_UP_STD,EGO_UP_AVE,EGO_UP_STD,EGO_L_UP_AVE,EGO_L_UP_STD,EGO_SL_UP_AVE,EGO_SL_UP_STD,EGO_UM_UP_AVE,EGO_UM_UP_STD,EGR_DG_AVE,EGR_DG_STD,EGR_UP_AVE,EGR_UP_STD,EGR_BG_UP_AVE,EGR_BG_UP_STD,DXT_200,DXT_400,DXT_600,FDM_200,FDM_400,FDM_600,SDM_200,SDM_400,SDM_600,V_UP,V_TN,AGE,MR_GCMT
8.916e-07,2.4683e-06,6.5e-09,2.004e-07,2.353e-07,1.3073e-06,147.7962080032,141.8411876622,-110.8204372043,110.9688794539,400.4426264528197,2.911395537895526,0.000170655692679,150.2980519481,52.0012820656,668.9230519481,243.5781540151,406.0746753247,169.4638730345,-1.1374030603,28.5733324244,49.3584230683,68.7993219003,18.5941828109,5.4181890531,1.1468919398,3.5533552219,2.0423378131,4.3267462513,7.9045992012,4.9694670316,-0.8818776729,26.865108914,46.3715614441,59.908114078,0.3736554355,59.3696321002,647.4116,656.0786,649.8705,0.0223892223165876,0.0074368778258063,0.0109394282971366,0.0001566634403543,0.0005807094582997,0.000478646452884,38.2,25.2,12.0,8.35
6.033e-07,2.6633e-06,3.66e-08,2.326e-07,5.45e-08,1.5017e-06,117.3514701951,115.075125716,-108.7036980306,112.2928863888,401.8620710702069,2.054834908864993,1.4194446173872444e-05,139.4440298507,50.7459026082,504.7832089552,149.7182488483,247.5815671642,84.1649083986,-1.0645432205,27.1877729658,28.8410099236,59.3049629896,17.8851063511,5.1447523686,0.7161899149,3.3695076914,2.0712554208,4.0305022524,6.8308205378,4.6459956738,-0.6204881057,25.4547674995,26.7224428003,50.9026632946,-17.9150544918,62.4439065174,645.1953,654.5628,650.3171,0.0187070601874755,0.0209849350682511,0.0028186581364114,0.0004573077007329,0.0004948412104242,0.0004378306613318,38.2,25.2,12.0,8.35
6.541e-07,2.6935e-06,1.274e-07,2.623e-07,-6e-09,1.5617e-06,133.5387462502,125.3455483767,-95.9774723818,127.3163020619,402.465516189,11.031637918507236,6.034451187930667e-06,125.9451369863,14.3553242109,607.2471232877,172.0598578265,359.2469863014,229.595126077,-3.0185689678,25.1670223788,23.1410258068,64.6996544905,16.6427548792,4.8068927271,0.1285511216,3.0785410881,1.7838759043,3.6666223321,5.5286936874,4.2950067039,-2.5994604211,23.1917978219,18.4616960889,54.695958066,-16.0898334432,51.7436056486,644.099,651.8096,649.6704,0.0053842108736899,0.0324096639384571,0.0109545985242944,0.0007861787413277,0.0004111109512249,0.0003830587803725,38.2,25.2,12.0,8.35
1.1821e-06,2.5473e-06,1.571e-07,2.552e-07,2.464e-07,1.4987e-06,188.4471095006,165.7531156418,-156.4121100803,153.0548657595,329.23529546397054,78.53682168082422,0.0007323022072502,121.9684042553,12.3869988297,569.2537234043,180.6392584447,715.6042553191,343.7110861579,3.8002307105,26.0415005571,6.7945021193,36.7663628251,14.9227297416,3.8102340566,-0.5732102418,2.0627859544,1.1444860197,2.6082678231,3.7213382462,3.4264960011,4.8948375249,23.8964130197,7.6639785698,36.784855867,-1.9581794741,45.3234022538,644.9071,648.0286,648.0672,0.0154625102692737,0.0417486278335695,0.019814974886083,0.0005284331612771,0.000326980447768,0.000317819615132,38.2,25.2,12.0,8.35
9.039e-07,2.4722e-06,2.688e-07,2.699e-07,9.63e-08,1.4481e-06,191.747980254,160.0681440134,-160.3498342128,166.9843262449,180.33333151673327,56.16020097716297,0.0014890196394723,110.8251162791,18.7524333766,392.3572674419,112.2653086835,659.8060465116,245.2463419056,14.4790103994,31.770273117,-1.7775208528,43.3575292961,15.3881541521,3.4007505151,-0.0024304137,1.6402854266,1.9923273577,2.1162500548,3.9798892223,2.9721305841,15.5590166219,30.7486570489,-3.1940154219,41.5320866357,-9.2148946071,59.4550480235,646.9835,643.431,645.6701,0.0207075310409136,0.0489085268659005,0.026960162678018,0.0002911148164012,0.0002343016552788,0.000245773100297,38.2,25.2,12.0,8.35
7.367e-07,2.2748e-06,3.877e-07,3.162e-07,3.74e-08,1.3113e-06,209.8020029664,205.6618725246,-157.5892093889,195.9630825165,235.6984173003016,44.23947453181412,0.0005536508578356,94.6207741935,31.2909471714,310.5417419355,122.2584208546,406.5585806452,209.069461729,10.860206521,30.4771336865,30.3101384924,63.1950302547,16.3506884141,3.3382802269,1.3186489256,1.834457926,3.4827724107,2.1960821063,4.832789418,2.9706455082,11.3827445638,29.5209103626,30.9361752333,61.1959642218,20.1015896607,69.1642449056,648.4459,638.2495,642.6588,0.00787163288336,0.0535656332479076,0.0322616917000468,0.0011189576293207,0.0001235865387244,0.0001706310797112,38.2,25.2,12.0,5.9
8.796e-07,2.0751e-06,4.567e-07,3.338e-07,1.358e-07,1.1671e-06,186.9407331943,147.7672989168,-177.4888381872,151.6367885797,331.4761899917619,42.97945261313587,0.0009577777269146,116.4663190184,34.5417620084,409.7662576687,106.0453266099,393.3114110429,224.6878544389,12.2126076621,29.1554738687,73.4569851831,75.7972198907,16.5863018266,3.9914855672,2.2202210495,2.4071619184,4.4208586929,2.7965812903,4.9014001007,3.5350771946,13.472891661,28.2241503773,69.4996398185,77.7363443432,72.1359079516,67.6850688935,647.1417,632.7613,639.221,0.0308447554660438,0.0551972909701287,0.0356839177174568,0.0016934784121464,3.728746206495836e-05,9.609506652848293e-05,46.6,46.6,30.0,6.1
6.053e-07,1.938e-06,5.807e-07,3.229e-07,1.06e-07,1.0579e-06,167.7214840082,161.3616449401,-136.3555302822,151.3635312115,484.966105315661,99.3219382292603,0.0015348991532389,160.273125,50.3220227009,478.9447222222,100.6681502163,448.9456944444,226.5361767487,-2.4256682981,28.6442255402,48.0521933898,65.2037286885,15.1785528102,3.722559105,1.0884711107,2.0331515857,3.3557449089,2.3906069753,3.1436398504,3.1511135097,-1.2448143803,26.5592038883,44.7619348799,63.8816170357,52.7842259318,56.8769012681,641.6608,627.3008,635.5424,0.0745832037502252,0.0532439319858112,0.0372827625701308,0.00169959975252,0.000163754625627,2.6631833940468415e-05,46.6,46.6,30.0,6.4
1.876e-07,1.8575e-06,6.591e-07,3.207e-07,2.373e-07,9.395e-07,188.9366734056,190.2437621516,-126.6745477078,180.9950372082,511.57406503177776,87.0288582083407,0.0002660795971611,202.0337113402,70.787895149,537.0965979381,159.0312745543,473.9029896907,182.3130649003,-1.148554682,28.0891232797,-15.6423825046,72.9310283216,11.84903078,3.5144955578,-1.7481020208,2.1092221719,0.5034026436,2.2682616919,-0.3471691661,3.044753175,-1.0240405552,26.7137431371,-18.74856713,61.7322124681,-25.2653977891,73.5804507952,631.9961,622.2503,631.7988,0.1111273161676435,0.0473493263303105,0.0372012603173596,0.0010585552313161,0.0003230385664789,3.706646289156377e-05,46.6,46.6,30.0,1.0
3.89e-08,1.8769e-06,3.037e-07,1.895e-07,2.8e-07,8.358e-07,184.1327087402,111.2649022966,-150.1836720705,123.3551787922,422.7963002523519,65.35753065970562,0.0008877776477942,135.5289380531,56.1867536961,424.74,168.4379325985,441.1407079646,120.8511184091,-2.4877239545,29.4499465511,-38.898366849,87.8083382297,9.1716408383,4.5890265189,-3.4325825779,3.105893888,-1.3451647779,3.3030198629,-3.2044092198,3.9483333597,-1.6921334689,29.2802685709,-41.738509763,71.6458034881,-55.300160639,77.8127445998,619.7332,618.0057,628.1467,0.1256827122708118,0.0376108644132361,0.0356604180112882,0.0003118114262126,0.0004651929427009,8.95431868852173e-05,46.6,46.6,30.0,5.2
