CRD_UP_AVE,CRD_UP_STD,CRS_UP_AVE,CRS_UP_STD,CRM_UP_AVE,CRM_UP_STD,INV_UP_AVE,INV_UP_STD,DLT_UP_AVE,DLT_UP_STD,SED_AVE,SED_STD,SED_GRD,SRO_DG_AVE,SRO_DG_STD,IRO_DG_AVE,IRO_DG_STD,LRO_DG_AVE,LRO_DG_STD,FRE_DG_AVE,FRE_DG_STD,FRE_UP_AVE,FRE_UP_STD,EGO_UP_AVE,EGO_UP_STD,EGO_L_UP_AVE,EGO_L_UP_STD,EGO_SL_UP_AVE,EGO_SL_UP_STD,EGO_UM_UP_AVE,EGO_UM_UP_STD,EGR_DG_AVE,EGR_DG_STD,EGR_UP_AVE,EGR_UP_STD,EGR_BG_UP_AVE,EGR_BG_UP_STD,DXT_200,DXT_400,DXT_600,FDM_200,FDM_400,FDM_600,SDM_200,SDM_400,SDM_600,V_UP,V_TN,AGE,MR_GCMT
1.483e-06,1.4955e-06,-2.906e-07,4.224e-07,9.544e-07,7.564e-07,55.1915646124,8.9860607034,-44.4767778029,5.5632349638,8863.425531914894,334.5294405312692,0.0029660836639019,,,,,,,-28.5858655856,17.2579282095,-17.4831607133,35.5597520168,-51.7837896223,2.8995442057,-0.4379469263,1.1078649468,-0.942413265,1.312545088,-6.8941358963,1.367144931,-29.0131695814,16.7302073476,-17.431429236,35.7143499707,-23.1263831822,26.9080952187,87.1189,85.9663,98.546,0.142848260967061,0.0604863702064738,0.0332604414031558,0.0004040920914037,0.0008965708095562,0.0004330708501643,-1.0,23.5,82.0,1.0
2.1495e-06,1.1188e-06,-2.156e-07,2.174e-07,1.4444e-06,7.222e-07,71.2520227432,21.0773549975,-60.2810705887,19.3306178901,8566.932195113899,362.0893312835792,0.0029649333680099,,,,,,,-25.8802171879,20.9507272728,-38.3355399001,32.1630650066,-53.0488682399,3.4177796492,-1.1487319083,1.4122377491,-2.0371635827,1.6560988709,-8.1928153265,1.6660202715,-23.535537184,20.8465457718,-39.7058585423,32.704919077,-9.8121243174,40.7873095455,73.6986,81.2159,95.8286,0.1200018500996861,0.0357798398334991,0.0219825070586835,0.001599303451515,0.0010861958312321,0.0004694583466771,-1.0,23.5,82.0,1.0
2.4591e-06,1.1002e-06,-2.285e-07,8.43e-08,1.6876e-06,7.18e-07,65.5434581056,30.3211591113,-60.8847138095,26.4752464058,8243.706854458622,277.2646201828988,0.0032322534065527,,,,,,,-25.2044231629,20.6918670835,-35.5766376644,33.1307767548,-53.4778651862,3.7855185751,-1.0100129718,1.6263385259,-2.1371223729,1.8672794268,-8.5307684356,1.8754964963,-24.6417102771,19.9624273052,-35.7898823373,31.2850418182,3.4057022508,40.1526297417,64.2607,79.1718,94.2827,0.0671293655657356,0.0092773008765323,0.0100292267575169,0.0026780112046394,0.0011836043498174,0.0004847585267124,-1.0,23.5,82.0,1.0
2.697e-06,1.148e-06,-1.916e-07,6.41e-08,1.8793e-06,7.405e-07,76.5887753835,48.5774692963,-69.3829635636,39.3798468289,7805.107029506429,413.413427251934,0.0043859982495219,,,,,,,-21.17533739,19.1516878756,-18.9021365757,35.1215904916,-52.9119383904,3.9057282551,-0.0892387278,1.8123178308,-1.3524771449,2.0192882506,-7.8950523253,1.978242254,-21.1262550576,18.5601438663,-19.1350216468,34.6592161784,9.7679341459,32.8383045371,61.464,80.0755,93.9466,0.0209731522848969,0.0223384900494618,0.003384503891546,0.0032177438650164,0.0011668187797377,0.0004785029076408,-1.0,23.5,82.0,1.0
2.7941e-06,1.2069e-06,-9.92e-08,9.51e-08,1.752e-06,7.343e-07,84.9629043931,57.911829401,-64.7662091334,43.0159410141,7677.263234991579,516.5707540076666,0.0012784379451484,,,,,,,-18.5197259033,22.4115700644,-13.1023131376,33.865259312,-53.0659496155,4.0176269537,0.3444681998,1.8890706759,-1.0163892938,2.0713485124,-7.7468145676,2.048475561,-18.5473213662,21.9457319697,-12.0026699617,33.2315858722,12.5004296563,31.2038131424,66.6342,83.8843,94.8048,0.0868384108721191,0.0502164497894269,0.0137680007739004,0.0029847979441347,0.001030699710967,0.0004521730128477,-1.0,23.5,82.0,1.0
2.9787e-06,1.3401e-06,-1.859e-07,2.045e-07,1.7991e-06,7.796e-07,37.0475056807,53.071569772,-14.5718404359,28.9014500906,7344.285705566429,744.6731071193522,0.0033297752942515,,,,,,,-16.9289965798,23.0350529095,-21.1747611588,41.4888439099,-53.9478546324,4.2135018199,0.0564281784,2.0737726228,-1.3552054882,2.2147824299,-8.2224426345,2.1527410468,-16.0115795442,22.1156815026,-22.2264107184,40.0529576118,12.0133980729,34.3346902175,79.1886,90.2595,96.7918,0.1515496453568548,0.0734597605732327,0.0246180734486773,0.0019778740206211,0.0007894586483427,0.000409140309799,-1.0,23.5,82.0,1.0
3.0724e-06,1.5681e-06,-2.369e-07,1.623e-07,1.8392e-06,8.882e-07,35.4883765946,48.6017453068,-12.6052325543,17.7813321547,6982.581791548364,922.5993487931348,0.0036170391401806,,,,,,,-14.0751152625,23.7479892102,-27.2909684703,40.9412605536,-54.9317929404,4.0998847803,-0.2447337876,2.0012331006,-1.6996359497,2.0818442268,-8.5511059307,2.0446923321,-14.2468522305,23.875193155,-26.632762986,39.905315007,8.4473254947,34.1116134182,96.6369,98.6011,99.8004,0.1846045080982148,0.0897681177032557,0.0342484092253295,0.0005428790153306,0.0004751093954913,0.000354329781774,-1.0,23.5,82.0,1.0
3.1008e-06,1.6901e-06,-1.811e-07,7.9e-08,1.7131e-06,9.131e-07,31.9943572998,43.4072462768,-16.8324999541,23.9392671838,6179.965458311034,869.1113645951793,0.0080261633323733,,,,,,,-8.0554332337,21.0790723501,-29.595308954,36.0843156943,-56.4599757912,3.5366190086,-0.8833098047,1.5718636397,-2.3823111527,1.5772899807,-9.3041782632,1.5434966948,-8.6597124301,21.7434621038,-28.6227666169,34.9909746976,13.3746988959,33.6976973139,115.2546,108.1275,103.6944,0.1786451550215776,0.0977948293265716,0.0424296133477886,0.0010532603603352,0.0001364726966828,0.0002936367072895,-1.0,23.5,82.0,1.0
3.0825e-06,1.7061e-06,-7.84e-08,1.799e-07,1.7274e-06,9.422e-07,38.6832648102,54.5672007882,-28.4651039955,39.5740274802,5166.549967448001,503.1603688655927,0.0101341549086303,,,,,,,-6.1807704993,17.8155511841,-57.6420241605,35.864851213,-58.4700553301,2.6687959001,-1.9834896255,1.1713480413,-3.4934203798,1.2300890305,-10.2731747859,1.2642671412,-6.469220046,18.6467903594,-56.9642042188,33.9663544677,22.7274249303,52.6460347554,131.2914,117.9859,108.3224,0.139485237327664,0.0973648171240863,0.049083811731661,0.0020585907294145,0.0001916576234698,0.0002331789316882,-1.0,23.5,82.0,5.4
2.9617e-06,1.5732e-06,8.15e-08,2.168e-07,1.5308e-06,8.003e-07,49.8944821217,74.474595914,-37.8641545668,56.6120830203,4575.936531187936,401.9664950338484,0.0059061343626006,,,,,,,-5.9547770353,16.6728247048,-50.7556553663,56.732376641,-59.1636343586,2.3686680276,-1.9591631451,1.6956779148,-3.4767772385,1.8749947194,-10.1628498009,1.8293121176,-6.1896674742,16.6413778342,-50.9715692858,53.8061271799,20.8592824632,58.2759500646,142.2663,127.3714,113.5339,0.0842795599453868,0.0894719908223805,0.0542813078848367,0.0022309011013802,0.0004524794574051,0.0001785112712517,-1.0,23.5,82.0,5.1
2.7718e-06,1.4605e-06,7.97e-08,1.909e-07,1.3672e-06,7.382e-07,68.6225061833,88.6582854667,-53.1459330995,68.5989079453,3766.5624694825,692.1142673553013,0.0080937406170543,41.441875,9.2640832492,95.2888392857,71.5662934396,147.0762135922,27.9065014562,-8.0064546979,15.253487949,-43.9569885184,59.4184510433,-59.4658169217,2.0234062431,-1.5487822557,1.8999425618,-3.0497240159,2.190812224,-9.5947323958,2.1567176975,-7.9566747635,15.4369480929,-42.0649500781,58.2607080741,31.8422581736,56.349547699,147.7413,135.6349,119.1928,0.0339071619846341,0.0760654225177667,0.0582184924093952,0.0016394303393338,0.0006195461695319,0.0001339450516481,-1.0,23.5,82.0,9.0
2.7039e-06,1.3831e-06,-1.74e-08,1.475e-07,1.1918e-06,6.118e-07,72.1780344183,83.8636071403,-56.912159729,66.2409994893,2911.1666851621208,824.1678434928953,0.0085539578432037,25.2157608696,11.8017180707,75.3492934783,36.2351406432,78.3706557377,48.0389435555,-7.6641318805,14.4715426625,-34.7731105136,51.8625773273,-59.6846259476,1.715506516,-1.1271261998,1.7623470103,-2.5886157112,2.1487571602,-8.9257789339,2.1140143678,-7.6702030004,14.2033858625,-34.6005418332,50.5555327295,38.7132663038,56.995016364,149.1549,142.3604,125.1877,0.0049003226517059,0.0596914085698671,0.0611810867744813,0.000671572550022,0.0006778930067155,0.0001020924835306,-1.0,23.5,82.0,9.0
