CRD_UP_AVE,CRD_UP_STD,CRS_UP_AVE,CRS_UP_STD,CRM_UP_AVE,CRM_UP_STD,INV_UP_AVE,INV_UP_STD,DLT_UP_AVE,DLT_UP_STD,SED_AVE,SED_STD,SED_GRD,SRO_DG_AVE,SRO_DG_STD,IRO_DG_AVE,IRO_DG_STD,LRO_DG_AVE,LRO_DG_STD,FRE_DG_AVE,FRE_DG_STD,FRE_UP_AVE,FRE_UP_STD,EGO_UP_AVE,EGO_UP_STD,EGO_L_UP_AVE,EGO_L_UP_STD,EGO_SL_UP_AVE,EGO_SL_UP_STD,EGO_UM_UP_AVE,EGO_UM_UP_STD,EGR_DG_AVE,EGR_DG_STD,EGR_UP_AVE,EGR_UP_STD,EGR_BG_UP_AVE,EGR_BG_UP_STD,DXT_200,DXT_400,DXT_600,FDM_200,FDM_400,FDM_600,SDM_200,SDM_400,SDM_600,V_UP,V_TN,AGE,MR_GCMT
4.8594e-06,1.6822e-06,-2.547e-07,2.593e-07,2.3703e-06,1.0194e-06,231.8830101323,91.3172714894,-132.7169357555,53.1844637725,427.2353752983738,63.95375562404665,1.683091905381684e-05,182.3221256039,45.5747439415,671.5070048309,174.56458969,443.3710628019,168.187417791,6.156584818,43.4715170306,11.6378855952,102.3318458601,1.8132927993,4.2433212981,0.8226109878,3.9954749112,1.5586366099,4.1256070095,0.1802286878,3.6825367427,6.6307554193,43.6829232629,12.3135989215,101.7350594446,208.868097051,46.9630080347,143.2652,155.1932,154.491,0.1543504724478016,0.1122420201740171,0.1157799051619494,0.0013243303229802,2.3450856580155335e-05,0.0001322668211442,1.6,1.6,45.0,8.7
4.7125e-06,1.7844e-06,2.791e-07,2.627e-07,1.9177e-06,1.165e-06,232.5857762336,102.1693254606,-135.3453252103,60.9207563191,428.2436252169889,70.56992334380276,1.0082499186150895e-05,187.3928977273,42.1984126305,1196.90875,852.1208585872,592.1969886364,425.5483606364,8.644403555,45.862062194,27.1739808141,105.7448234841,1.8793438271,4.1482329094,1.0630418314,3.8643844994,1.6735076343,4.0208254237,0.0165014082,3.6303418952,7.8250347693,46.6937326559,28.0298308053,102.9489756599,207.9652853726,50.3310435437,160.1446,166.3751,165.8722,0.1731992740661909,0.1112325132914311,0.1119291591697303,0.0003208022319265,6.663228357922999e-05,0.0001796925308011,1.6,1.6,45.0,8.7
4.3867e-06,1.737e-06,8.72e-08,2.944e-07,2.7513e-06,8.607e-07,222.1829995834,105.4423982439,-134.4501818197,60.7627186832,422.9092113788205,79.18739214080465,5.334413838168406e-05,191.1872072072,70.7842597301,886.9946846847,853.6173192956,448.4237837838,477.6038529072,0.1229743274,59.2915838005,-34.4100951524,101.3326523306,0.0686222911,4.7594595864,-0.495114629,4.3648931924,-0.105720666,4.5956407724,-1.7482451473,4.0367586219,2.2645603482,56.9045092346,-35.8391808672,99.3058778565,197.0065843433,54.0922354045,177.1614,177.388,176.8047,0.1617848283060478,0.1088327408795507,0.1069540250143711,0.0009615823048257,0.0001356426384704,0.0002214817086325,-3.4,-3.4,54.0,8.7
4.5956e-06,1.5148e-06,-5.33e-08,2.133e-07,2.2694e-06,7.492e-07,228.7092252744,93.9152037876,-136.4527868561,57.326808628,371.3333148956458,75.91046268659773,0.0005157589648317,230.5654,66.6328827595,586.42975,485.3155269167,393.8922,434.2373783211,10.006683356,47.0739385675,-24.3986133142,115.5274310765,-0.8459749201,5.763609513,-0.9216581749,5.3534740218,-0.9385087957,5.5673357123,-2.3277467523,5.0014948275,9.5187970574,48.4406539426,-22.7941575442,114.4287726034,171.9250231062,47.8853822567,191.8448,188.0603,187.1841,0.1326252807561217,0.1045227719780433,0.1010067071503321,0.0012864849137893,0.0002186441764827,0.0002566612067654,-3.4,-3.4,54.0,8.7
4.6211e-06,1.4872e-06,1.361e-07,9.69e-08,1.9603e-06,9.197e-07,227.3302772717,99.2673915712,-149.6189999092,67.3334876891,338.8639172923878,69.86406552394394,0.0003246939760325,247.4431481481,38.3930945191,668.788287037,326.7013209557,334.8028240741,164.5675682348,13.4250936806,46.1265856511,-21.1431811319,115.5811625763,-1.0376333109,6.1890379321,-0.8064599744,5.7349435359,-1.105455015,5.960753898,-2.3257963644,5.3316584333,13.1900322593,46.1323511122,-20.6329248809,114.3191958673,167.6511867642,49.6134864662,203.371,198.186,196.9226,0.102496726664932,0.0981058496487959,0.0942613603175287,0.0010299771583757,0.0003019936106611,0.0002844929454057,-3.4,-3.4,54.0,8.7
4.5206e-06,1.4291e-06,2.009e-07,5.22e-08,1.7645e-06,7.574e-07,225.0215952848,95.0572232031,-157.5353736362,77.4386891205,324.04585937502003,66.66881265529939,0.0001481805791736,234.8389908257,27.9723358241,932.2382568807,310.5185574455,435.443853211,137.6859072719,12.0525137502,48.211471451,-10.9345639624,117.5915461584,-0.981030174,6.3854771267,-0.5118241332,5.9106225697,-1.0625258374,6.1417826213,-2.2302088509,5.5689524325,12.3395628239,48.0213172165,-10.8330551029,117.0525631918,161.204890517,57.2029674726,212.3412,207.558,205.9507,0.0818666767439521,0.089720234182443,0.0869069562138598,0.0005783693197369,0.0003729890883848,0.000304576111317,-0.8,-0.8,56.0,8.7
4.4097e-06,1.4101e-06,1.529e-07,1.119e-07,2.0004e-06,6.793e-07,269.8161390452,204.4173999427,-167.3293068446,178.7118252556,319.821103491,63.836735669495006,4.2247558840200485e-05,202.9892035398,37.8979263014,456.5521238938,152.093857058,217.8593362832,78.0779288157,12.6510834347,46.5583018688,-7.1964702034,136.0011482048,-1.5274481301,6.8284668357,-0.8561065877,6.3231625963,-1.6453146335,6.575095477,-2.6356088232,5.9120960633,13.9171486556,43.9790724661,-9.7447371763,135.3598159865,164.2794072127,59.3153942861,219.8468,215.9997,214.218,0.0711627050299234,0.0797946577266988,0.079138158219158,0.0002967690760748,0.000421558857737,0.0003169001010634,-0.8,-0.8,56.0,8.7
4.3733e-06,1.3443e-06,-3.8e-09,1.778e-07,2.0137e-06,5.964e-07,350.8945054446,238.5158624383,-233.4307016484,168.0220197719,324.40734116574475,61.11778662961032,4.586237674744809e-05,164.6674439462,22.6917653861,292.0994618834,80.3584584115,132.8150224215,60.8825735144,10.5495333338,46.6821036989,-28.5168097377,137.0944393203,-2.2755025559,7.1088465387,-1.5091261493,6.5582520709,-2.5008809382,6.8601403561,-3.6384406856,6.180911081,9.8176181574,47.9975261474,-28.9861225174,136.5801662483,145.8659436059,54.8371088154,226.58,223.3904,221.6939,0.064161858868705,0.0689707478029107,0.0711453486058441,0.0003089168810653,0.0004412434543329,0.0003218588704111,-0.8,-0.8,56.0,8.7
4.4574e-06,1.3631e-06,-7.7e-09,2.804e-07,1.8558e-06,6.383e-07,281.3468164097,107.6327444986,-224.9573537004,97.0879094803,325.6308776855,51.77377936033889,1.223536519755264e-05,187.4377900552,24.0639560036,353.1879558011,67.1259577601,162.6251933702,62.2977467431,6.8451083509,51.8142421458,-42.6597547991,116.1598666163,-2.1979478866,6.5120413662,-1.4711123571,5.9244660973,-2.6190972243,6.2588275724,-3.8294644041,5.597529912,4.1330606318,55.1265318483,-42.5713630125,113.2017794605,138.1772043303,44.0419104743,232.5225,229.681,228.3657,0.054434173657278,0.0580033667747019,0.0631045435517889,0.0005016708496798,0.0004300077510582,0.0003202448995751,-1.6,-1.6,58.0,8.6
4.509e-06,1.5306e-06,4e-09,2.791e-07,2.1857e-06,7.646e-07,263.7070341671,63.9152488209,-225.7249977449,60.7033373395,275.1417482376375,47.986597966577726,0.0005048912944786,167.2211413043,21.6678111618,353.4208152174,107.8496535535,197.6886413043,105.2541261341,11.1051760837,51.5815120244,-27.2020838065,120.6227039384,-2.0824129836,5.9057877552,-1.3124561378,5.4154881534,-2.6851181291,5.6579055941,-3.9193095438,5.1051636976,10.7446671014,52.6843564126,-26.1764230977,117.8302978298,168.8293513397,39.9498761069,237.214,234.8994,234.2375,0.0397854606171594,0.0476436237810076,0.0551677436520803,0.0006647318387351,0.0003906926133149,0.0003132140516758,-1.6,-1.6,58.0,8.6
4.4632e-06,1.8223e-06,9.26e-08,2.886e-07,2.2882e-06,9.001e-07,262.2400141629,54.5468505793,-229.4153183061,50.4759565474,229.40169724178264,24.57351984212358,0.0004574005099585,151.9198484848,17.0133076991,322.0763636364,70.3604028255,150.0128282828,59.5525064233,16.530701272,51.9448954767,-36.8306512843,119.607880425,-2.1491002203,6.0921295174,-1.3694744971,5.6189956005,-2.9568181948,5.8470700322,-3.97636989,5.3832582195,15.5200891495,53.6549038778,-33.4889387392,119.4040817736,180.5215601354,41.9431548139,240.2641,239.1431,239.3266,0.0230476202751446,0.0385185616586245,0.0474546376919276,0.0006306947881915,0.0003307265260492,0.0003022073681223,-1.6,-1.6,58.0,8.6
